,LOCATION,TIME,Value
0,AUS,2006,37844.782088
1,AUS,2007,39597.743117
2,AUS,2008,40094.833205
3,AUS,2009,41615.326657
4,AUS,2010,42787.358539
5,AUS,2011,44419.309749
6,AUS,2012,43879.180355000004
7,AUS,2013,47761.214060000006
8,AUS,2014,47638.633438
9,AUS,2015,47351.047292
10,AUS,2016,50309.405732
77,FRA,2006,32435.702917000002
78,FRA,2007,34092.919573
79,FRA,2008,35102.870427999995
80,FRA,2009,34719.504985
81,FRA,2010,35936.041871
82,FRA,2011,37447.949543
83,FRA,2012,37684.198067000005
84,FRA,2013,39528.473644
85,FRA,2014,40144.059485000005
86,FRA,2015,40840.848298000004
87,FRA,2016,42853.539362999996
88,DEU,2006,34624.968883999994
89,DEU,2007,36820.153243
90,DEU,2008,38432.448211
91,DEU,2009,37501.127561
92,DEU,2010,39703.558088
93,DEU,2011,42541.513126
94,DEU,2012,43359.541048
95,DEU,2013,44993.667838
96,DEU,2014,47011.280402
97,DEU,2015,47683.547301
98,DEU,2016,50564.049275
99,GRC,2006,28514.629395
100,GRC,2007,29289.735538999998
101,GRC,2008,30855.935774
102,GRC,2009,30388.352093
103,GRC,2010,28169.377083999996
104,GRC,2011,26141.091034
105,GRC,2012,25284.405781999998
106,GRC,2013,26097.797516
107,GRC,2014,26838.582268000002
108,GRC,2015,26902.327613
109,GRC,2016,27823.314892000002
143,ITA,2006,32256.668217000002
144,ITA,2007,33903.208045
145,ITA,2008,35274.312724
146,ITA,2009,34355.464457999995
147,ITA,2010,34857.266561000004
148,ITA,2011,36183.316026
149,ITA,2012,36002.908697000006
150,ITA,2013,36067.707344
151,ITA,2014,36194.916674
152,ITA,2015,36909.296843000004
153,ITA,2016,39918.302413
154,JPN,2006,33094.337692
155,JPN,2007,34507.170073
156,JPN,2008,34803.657814
157,JPN,2009,33201.986952
158,JPN,2010,34994.372225
159,JPN,2011,35775.256332
160,JPN,2012,37213.837398
161,JPN,2013,39008.36056
162,JPN,2014,39183.465681
