TIME,Argentina,Australia,Bulgaria,China (Mainland),Colombia,"Germany, Fed. Republic",France,United Kingdom,Greece,Indonesia,India,Italy,Japna,Mexico,Peru,Poland,Saudi Arabia,Turkey,United States,Zambia
2006,15460.414115000001,37844.782088,11249.366254999999,5852.349553,8993.624772,34624.968883999994,32435.702917000002,34772.478459,28514.629395,7300.866433,3362.2699820000003,32256.668217000002,33094.337692,13720.688225999998,,15143.176341,41791.166485,13513.394425999999,46230.846201,2393.216756
2007,17136.46023,39597.743117,12606.956513,6829.424540999999,9750.675936,36820.153243,34092.919573,35599.400670999996,29289.735538999998,7853.3037079999995,3696.1641649999997,33903.208045,34507.170073,14233.029478999999,8098.434184999999,16788.670156,42539.469758,14726.311165000001,47902.060352,2589.986172
2008,18000.203145,40094.833205,14089.68769,7595.73421,10143.055262,38432.448211,35102.870427999995,36650.101264,30855.935774,8360.442284,3841.6842469999997,35274.312724,34803.657814,14885.902438,8907.759314,18315.045643,44854.823178,15910.700132,48311.223701999996,2768.860353
2009,16898.991716999997,41615.326657,13925.023858,8332.410641,10222.230228,37501.127561,34719.504985,35038.59208,30388.352093,8508.180961,4104.00909,34355.464457999995,33201.986952,14532.386518000001,8972.800803,19095.054572999998,43069.445399000004,15347.185787,47028.160396,2961.483104
2010,18524.85676,42787.358539,14598.585503999999,9281.496213,10665.091783,39703.558088,35936.041871,36371.618272,28169.377083999996,8399.655991,4420.893038,34857.266561000004,34994.372225,15257.673556,9723.603631999998,20804.753607,44491.845129,17244.586968,48395.803473,3212.447852
2011,19817.45048,44419.309749,15661.19215,10330.747358,11553.671897,42541.513126,37447.949543,37146.173273,26141.091034,8973.562971,4739.373347,36183.316026,35775.256332,16546.641413999998,10435.871321999999,22576.179383000002,48524.639736000005,19445.133234,49810.699509,3361.606878
2012,19764.225013,43879.180355000004,16241.60731,11300.296497,12093.745535,43359.541048,37684.198067000005,38309.028313,25284.405781999998,9561.447726999999,5031.957154,36002.908697000006,37213.837398,17220.06914,11162.353493999999,23542.002955,50611.03068,20473.438697,51540.968322,3576.373281
2013,20365.613348,47761.214060000006,16581.780416,12331.055894,12720.7142,44993.667838,39528.473644,39984.885036,26097.797516,10129.881429000001,5377.580201,36067.707344,39008.36056,17461.798268000002,11891.63251,24422.763907,51373.657502999995,22204.865347,53045.945117,3701.581648
2014,20008.320642,47638.633438,17555.515868000002,13411.503995000001,13420.231047,47011.280402,40144.059485000005,41269.351632,26838.582268000002,10694.447972,5811.02644,36194.916674,39183.465681,18167.517949,12270.179181,25297.950445,52790.298364,23982.612542,54993.169489,3826.164471
2015,20551.833194,47351.047292,18342.039891999997,14419.244821,13807.774796000002,47683.547301,40840.848298000004,42522.183841000005,26902.327613,11189.583544,6260.1356,36909.296843000004,40406.095333,18438.044081,,26529.036797,54172.110832000006,25727.604649,56770.417349,3862.1284520000004
2016,20130.408028,50309.405732,20009.53859,15467.890286000002,14091.026182,50564.049275,42853.539362999996,44138.043207999996,27823.314892000002,11732.330723000001,6717.282686,39918.302413,40023.592457,19505.271537,,27947.390312,54439.842335,26509.937205000002,57884.491072000004,3937.4299130000004
