,Unnamed: 0,Commodity,Country,UNIT_DESC,Year,AMOUNT,Metric Tons
0,30128,Beef,Argentina,KG,2006,137101.0,137.101
1,30129,Beef,Argentina,KG,2006,87009.0,87.009
2,30150,Beef,Argentina,KG,2006,9386.0,9.386
3,30151,Beef,Argentina,KG,2006,19475.0,19.475
4,30152,Beef,Argentina,KG,2006,122693.0,122.693
5,30153,Beef,Argentina,KG,2006,68505.0,68.505
6,30154,Beef,Argentina,KG,2006,93714.0,93.714
7,30207,Beef,Argentina,CWE,2006,921553.4910645,41801.666354685716
8,30208,Beef,Argentina,CWE,2006,741224.58269202,33621.94707091003
9,30261,Beef,Argentina,KG,2006,100024.0,100.024
10,30262,Beef,Argentina,KG,2006,31628.0,31.628
11,30263,Beef,Argentina,KG,2006,33440.0,33.44
12,30264,Beef,Argentina,KG,2006,52115.0,52.115
13,32520,Beef,Argentina,CWE,2006,3361638.33598446,152483.9149202551
14,32521,Beef,Argentina,CWE,2006,4863459.66920604,220606.53059518602
15,32522,Beef,Argentina,CWE,2006,8999953.80989166,408237.9048166857
16,32523,Beef,Argentina,CWE,2006,7389777.44385342,335200.30485319113
17,33949,Beef,Argentina,KG,2006,51609.0,51.608999999999995
18,43415,Beef,Argentina,KG,2006,105710.0,105.71
19,43416,Beef,Argentina,KG,2006,143024.0,143.024
20,43417,Beef,Argentina,KG,2006,5339.0,5.3389999999999995
21,43418,Beef,Argentina,KG,2006,17878.0,17.878
22,43419,Beef,Argentina,KG,2006,143023.0,143.023
23,47568,Beef,Argentina,CWE,2006,222064.69563936,10072.854594201372
24,47569,Beef,Argentina,CWE,2006,21069.15357582,955.6968061991953
25,47570,Beef,Argentina,CWE,2006,564407.85762774,25601.540421994287
26,47571,Beef,Argentina,CWE,2006,70551.47548764,3200.21492811935
27,47694,Beef,Argentina,CWE,2006,352753.43116482,16000.895637636233
28,47695,Beef,Argentina,CWE,2006,417160.5589998,18922.402956230926
29,47696,Beef,Argentina,CWE,2006,564411.80390112,25601.7194249548
30,50852,Beef,Argentina,KG,2006,56272.0,56.272
31,50853,Beef,Argentina,KG,2006,17878.0,17.878
32,50854,Beef,Argentina,KG,2006,17878.0,17.878
33,50912,Beef,Argentina,CWE,2006,593270.90112906,26910.76807521416
34,50913,Beef,Argentina,CWE,2006,70551.47548764,3200.21492811935
35,50914,Beef,Argentina,CWE,2006,70551.47548764,3200.21492811935
36,61491,Beef,Argentina,KG,2006,1022592.0,1022.592
37,61492,Beef,Argentina,KG,2006,1565443.0,1565.443
38,66245,Beef,Argentina,KG,2006,16157.0,16.157
39,87481,Beef,Argentina,CWE,2006,4890616.3793718,221838.3589683048
40,87482,Beef,Argentina,CWE,2006,2634911.303472,119519.57672548993
41,87483,Beef,Argentina,CWE,2006,1340016.4305108,60783.14528796987
42,89991,Beef,Argentina,KG,2006,794470.0,794.47
43,99251,Beef,Argentina,CWE,2006,203663.22286842,9238.163789311531
44,99252,Beef,Argentina,CWE,2006,230561.0222265,10458.24796819404
45,99253,Beef,Argentina,CWE,2006,484180.11981234,21962.41023468774
46,99254,Beef,Argentina,CWE,2006,270339.4578969,12262.597810203384
47,99350,Beef,Argentina,CWE,2006,394722.04856112,17904.592122732403
48,99427,Beef,Argentina,CWE,2006,515833.17859332,23398.192980992997
49,99428,Beef,Argentina,CWE,2006,124812.73446264,5661.505635225351
50,99452,Beef,Argentina,CWE,2006,131963.3818272,5985.858999681792
51,102401,Beef,Argentina,CWE,2006,2814440.81590728,127663.0354095542
52,102402,Beef,Argentina,CWE,2006,1878105.88548828,85190.88296574839
53,102403,Beef,Argentina,CWE,2006,1910786.18789016,86673.26148269765
54,105686,Beef,Argentina,KG,2006,376986.0,376.986
55,105687,Beef,Argentina,KG,2006,337958.0,337.958
56,108908,Beef,Argentina,KG,2006,150337.0,150.33700000000002
57,109012,Beef,Argentina,KG,2006,89389.0,89.389
58,126322,Beef,Argentina,KG,2006,32640.0,32.64
59,126323,Beef,Argentina,KG,2006,33913.0,33.913000000000004
60,126358,Beef,Argentina,CWE,2006,67678.1475426,3069.880772532336
61,126359,Beef,Argentina,CWE,2006,136721.837952,6201.70256950272
62,126496,Beef,Argentina,CWE,2006,361382.9610132,16392.33111155875
63,126497,Beef,Argentina,CWE,2006,142054.15718339998,6443.576569839022
64,135627,Beef,Argentina,CWE,2006,66241.3953852,3004.709694672672
65,147361,Beef,Argentina,KG,2006,1769376.0,1769.376
66,147362,Beef,Argentina,KG,2006,1923646.0,1923.646
67,147485,Beef,Argentina,CWE,2006,8991821.5545816,407869.0257158213
68,147540,Beef,Argentina,CWE,2006,8816343.18939486,399909.32707095076
69,147541,Beef,Argentina,CWE,2006,3328454.36564046,150978.69002545127
70,147542,Beef,Argentina,CWE,2006,7284985.82976024,330446.9572379245
71,150022,Beef,Argentina,KG,2006,2116109.0,2116.109
72,150023,Beef,Argentina,KG,2006,1167115.0,1167.115
73,150024,Beef,Argentina,KG,2006,1746213.0,1746.213
74,150025,Beef,Argentina,KG,2006,2162331.0,2162.331
75,150259,Beef,Argentina,KG,2006,2152380.0,2152.38
76,150260,Beef,Argentina,KG,2006,2136601.0,2136.601
77,150261,Beef,Argentina,KG,2006,1349521.0,1349.521
78,160373,Beef,Argentina,KG,2006,340708.0,340.708
79,160374,Beef,Argentina,KG,2006,997065.0,997.065
80,160375,Beef,Argentina,KG,2006,1313651.0,1313.651
81,160376,Beef,Argentina,KG,2006,1070457.0,1070.4569999999999
82,161477,Beef,Argentina,CWE,2006,3423190.03740504,155275.9000966926
83,161478,Beef,Argentina,CWE,2006,1612356.56082648,73136.49359908912
84,161479,Beef,Argentina,CWE,2006,1322314.06542228,59980.16600755463
85,161480,Beef,Argentina,CWE,2006,2831219.35619292,128424.10999691086
