,COMMODITY_DESC,GEOGRAPHY_DESC,UNIT_DESC,YEAR_ID,AMOUNT
30128,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2006,137101.0
30129,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2006,87009.0
30150,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,9386.0
30151,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,19475.0
30152,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,122693.0
30153,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,68505.0
30154,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,93714.0
30207,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2006,921553.4910645001
30208,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2006,741224.58269202
30261,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,100024.0
30262,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,31628.0
30263,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,33440.0
30264,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,52115.0
32520,Beef and veal,Argentina,CWE,2006,3361638.33598446
32521,Beef and veal,Argentina,CWE,2006,4863459.66920604
32522,Beef and veal,Argentina,CWE,2006,8999953.80989166
32523,Beef and veal,Argentina,CWE,2006,7389777.44385342
33949,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,51609.0
43415,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,105710.0
43416,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,143024.0
43417,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,5339.0
43418,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,17878.0
43419,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,143023.0
47568,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,222064.69563936
47569,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,21069.15357582
47570,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,564407.85762774
47571,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,70551.47548764
47694,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,352753.43116482
47695,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,417160.55899979995
47696,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,564411.80390112
50852,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,56272.0
50853,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,17878.0
50854,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,17878.0
50912,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,593270.90112906
50913,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,70551.47548764
50914,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,70551.47548764
61491,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2006,1022592.0
61492,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2006,1565443.0
66245,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,KG,2006,16157.0
87481,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2006,4890616.3793717995
87482,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2006,2634911.303472
87483,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2006,1340016.4305107999
89991,Beef and veal,Argentina,KG,2006,794470.0
99251,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,203663.22286842
99252,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,230561.02222649998
99253,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,484180.11981234
99254,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,270339.4578969
99350,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,394722.04856112
99427,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,515833.17859332
99428,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,124812.73446264
99452,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,131963.3818272
102401,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,CWE,2006,2814440.81590728
102402,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,CWE,2006,1878105.88548828
102403,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,CWE,2006,1910786.18789016
105686,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,KG,2006,376986.0
105687,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,KG,2006,337958.0
108908,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,150337.0
109012,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,89389.0
126322,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,KG,2006,32640.0
126323,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,KG,2006,33913.0
126358,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,CWE,2006,67678.1475426
126359,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,CWE,2006,136721.837952
