LOCATION,TIME,Value
AUS,2006,773963.6385
AUS,2007,824725.9546
AUS,2008,851983.1297
AUS,2009,902707.1812
AUS,2010,942682.5259
AUS,2011,992327.3798
AUS,2012,997527.3466
AUS,2013,1104626.135
AUS,2014,1118350.267
AUS,2015,1127712.542
AUS,2016,1217029.803
FRA,2006,2063202.627
FRA,2007,2182049.131
FRA,2008,2259255.844
FRA,2009,2246074.217
FRA,2010,2336238.018
FRA,2011,2446474.544
FRA,2012,2474005.287
FRA,2013,2608523.504
FRA,2014,2662032.873
FRA,2015,2719224.521
FRA,2016,2863816.329
DEU,2006,2810612.599
DEU,2007,2982137.852
DEU,2008,3103958.247
DEU,2009,3018203.25
DEU,2010,3187560.458
DEU,2011,3415019.966
DEU,2012,3487234.448
DEU,2013,3628559.337
DEU,2014,3807114.521
DEU,2015,3895125.928
DEU,2016,4163898.894
GRC,2006,314242.4222
GRC,2007,323607.6138
GRC,2008,341817.8292
GRC,2009,337524.156
GRC,2010,313282.4314
GRC,2011,290296.6852
GRC,2012,279267.2732
GRC,2013,286168.6393
GRC,2014,292335.7415
GRC,2015,291109.1186
GRC,2016,299823.7352
ITA,2006,1884705.513
ITA,2007,1993081.453
ITA,2008,2089717.307
ITA,2009,2046840.168
ITA,2010,2085496.315
ITA,2011,2173169.961
ITA,2012,2172383.108
ITA,2013,2187376.607
ITA,2014,2200256.409
ITA,2015,2241523.743
ITA,2016,2420146.88
JPN,2006,4230713.942
JPN,2007,4416227.626
JPN,2008,4456434.365
JPN,2009,4250983.197
JPN,2010,4480784.403
JPN,2011,4573186.792
JPN,2012,4746699.388
JPN,2013,4967051.575
JPN,2014,4986566.21
JPN,2015,5136018.778
JPN,2016,5080314.661
MEX,2006,1485209.618
MEX,2007,1560053.895
MEX,2008,1653898.19
MEX,2009,1637276.795
MEX,2010,1741129.418
MEX,2011,1911319.096
MEX,2012,2012767.781
MEX,2013,2064490.948
MEX,2014,2171926.771
MEX,2015,2228163.875
MEX,2016,2381925.244
POL,2006,577439.6002
POL,2007,639916.9517
POL,2008,698096.2797
POL,2009,734834.9851
POL,2010,801336.6947
POL,2011,869769.8869
POL,2012,907167.5419
POL,2013,940325.256
POL,2014,973566.3249
POL,2015,1020174.11
POL,2016,1073934.368
TUR,2006,936410.6668
TUR,2007,1033168.539
TUR,2008,1130487.066
TUR,2009,1105595.917
TUR,2010,1261303.58
TUR,2011,1443295.569
TUR,2012,1539111.228
TUR,2013,1690856.087
TUR,2014,1851026.001
TUR,2015,2012361.781
TUR,2016,2101654.802
GBR,2006,2115105.547
GBR,2007,2182919.65
GBR,2008,2265855.861
GBR,2009,2181537.782
GBR,2010,2282682.763
GBR,2011,2350795.576
GBR,2012,2440476.649
GBR,2013,2563271.04
GBR,2014,2665876.307
GBR,2015,2768619.39
GBR,2016,2897574.261
USA,2006,13814609
USA,2007,14451860
USA,2008,14712845
USA,2009,14448932
USA,2010,14992052
USA,2011,15542582
USA,2012,16197007
USA,2013,16784851
USA,2014,17527258
USA,2015,18224780
USA,2016,18715040
CHN,2006,7692796.44
CHN,2007,9023650.352
CHN,2008,10087286.95
CHN,2009,11119602
CHN,2010,12445651.09
CHN,2011,13919132.45
CHN,2012,15301053.47
CHN,2013,16779114.38
CHN,2014,18344523.39
CHN,2015,19820982.32
CHN,2016,21387606.58
COL,2006,390376.8811
COL,2007,428317.2496
COL,2008,450870.4405
COL,2009,459783.9761
COL,2010,485363.8904
COL,2011,531984.2126
COL,2012,563348.7139
COL,2013,599413.906
COL,2014,639632.1937
COL,2015,665581.7606
COL,2016,686905.2298
IND,2006,3800566.188
IND,2007,4237565.013
IND,2008,4466325.14
IND,2009,4837456.09
IND,2010,5320638.339
IND,2011,5782035.484
IND,2012,6214467.085
IND,2013,6727352.831
IND,2014,7362570.5
IND,2015,8031753.975
IND,2016,8725750.209
IDN,2006,1639526.583
IDN,2007,1790391.656
IDN,2008,1934980.282
IDN,2009,1999105.307
IDN,2010,2003475.868
IDN,2011,2171518.785
IDN,2012,2346620.221
IDN,2013,2520497.851
IDN,2014,2696763.334
IDN,2015,2858510.035
IDN,2016,3035212.62
SAU,2006,1027155.869
SAU,2007,1074230.895
SAU,2008,1163568.652
SAU,2009,1148295.674
SAU,2010,1220218.929
SAU,2011,1370239.747
SAU,2012,1472090.507
SAU,2013,1538357.254
SAU,2014,1624712.337
SAU,2015,1709517.102
SAU,2016,1757083.312
ARG,2006,602507.7985
ARG,2007,674422.5288
ARG,2008,715436.0742
ARG,2009,678224.1336
ARG,2010,755600.2493
ARG,2011,817697.5348
ARG,2012,824825.7586
ARG,2013,859488.6564
ARG,2014,853745.0376
ARG,2015,886440.9706
ARG,2016,877491.8939
BGR,2006,86609.0958
BGR,2007,96566.3116
BGR,2008,107411.2547
BGR,2009,105623.1301
BGR,2010,109989.9622
BGR,2011,115083.5768
BGR,2012,118659.3639
BGR,2013,120468.5416
BGR,2014,126819.9582
BGR,2015,131658.9973
BGR,2016,142624.4194
PER,2007,230658.8007
PER,2008,256606.1254
PER,2009,261395.7496
PER,2010,286476.1587
PER,2011,310964.9003
PER,2012,336387.2896
PER,2013,362399.2131
PER,2014,378095.4486
ZMB,2006,29635.2031
ZMB,2007,32960.164
ZMB,2008,36225
ZMB,2009,39849.7166
ZMB,2010,44492.4027
ZMB,2011,47953.3221
ZMB,2012,52572.6872
ZMB,2013,56090.0667
ZMB,2014,59768.5152
ZMB,2015,62184.1302
ZMB,2016,65325.8997
